forward_num_0.50,reverse_num_0.50,forward_rate_0.50,reverse_rate_0.50,organism_num_0.50,organism_rate_0.50,forward_num_0.10,reverse_num_0.10,forward_rate_0.10,reverse_rate_0.10,organism_num_0.10,organism_rate_0.10,forward_num_0.60,reverse_num_0.60,forward_rate_0.60,reverse_rate_0.60,organism_num_0.60,organism_rate_0.60,forward_num_0.20,reverse_num_0.20,forward_rate_0.20,reverse_rate_0.20,organism_num_0.20,organism_rate_0.20,forward_num_0.40,reverse_num_0.40,forward_rate_0.40,reverse_rate_0.40,organism_num_0.40,organism_rate_0.40,forward_num_0.30,reverse_num_0.30,forward_rate_0.30,reverse_rate_0.30,organism_num_0.30,organism_rate_0.30,forward_num_0.35,reverse_num_0.35,forward_rate_0.35,reverse_rate_0.35,organism_num_0.35,organism_rate_0.35,forward_num_0.55,reverse_num_0.55,forward_rate_0.55,reverse_rate_0.55,organism_num_0.55,organism_rate_0.55,forward_num_0.45,reverse_num_0.45,forward_rate_0.45,reverse_rate_0.45,organism_num_0.45,organism_rate_0.45,forward_num_0.25,reverse_num_0.25,forward_rate_0.25,reverse_rate_0.25,organism_num_0.25,organism_rate_0.25,forward_num_0.15,reverse_num_0.15,forward_rate_0.15,reverse_rate_0.15,organism_num_0.15,organism_rate_0.15
500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5
536.4,461.5,5.53332156802842,5.49301598156172,997.9,5.51469278931905,539.4,459.0,5.55542933704685,5.48724949155462,998.4,5.52404361094406,540.0,458.1,5.55914524016459,5.49794515559176,998.1,5.53120535365024,540.5,458.0,5.62355149555908,5.53738163299598,998.5,5.58398440822476,537.3,461.1,5.53366260823398,5.49532682994345,998.4,5.51592053196144,538.0,460.4,5.55666519931376,5.5206339171253,998.4,5.54016002354304,536.5,461.7,5.52895177978312,5.4922339286688,998.2,5.51221321168299,535.5,462.8,5.57189052332503,5.4934926249423,998.3,5.53582111748938,536.2,461.8,5.56106939489549,5.50322552256192,998.0,5.53467226610977,537.1,461.3,5.52545034764615,5.48542696475388,998.4,5.50691604091051,540.2,458.1,5.55312660518237,5.51788954727017,998.3,5.536924867688
574.4,423.8,5.61378273952432,5.48220286871068,998.2,5.55792261767043,577.1,420.6,5.64183512058633,5.47519359307779,997.7,5.5720187243542,576.4,422.0,5.60491437402185,5.5091461808352,998.4,5.56507390027921,578.8,419.8,5.69313473313486,5.53636704529189,998.6,5.62738229211175,574.9,423.7,5.62095198659459,5.49556458774244,998.6,5.56760806004836,576.6,421.3,5.61295587074908,5.53045239816056,997.9,5.57838274556663,573.7,424.5,5.59081461208474,5.48387307700173,998.2,5.54537815071691,571.2,427.7,5.62326462210401,5.49192101189162,998.9,5.56742544147354,572.9,425.0,5.60081923082297,5.50454578487826,997.9,5.55986429472027,575.5,422.3,5.61536305206846,5.50368401925528,997.8,5.56833723021919,576.5,421.6,5.59582428448538,5.53771685560682,998.1,5.57149693122782
608.0,390.1,5.68522198336535,5.50156841190649,998.1,5.61375325663652,610.8,387.1,5.6829339895509,5.46648883416408,997.9,5.59942046887983,608.9,389.6,5.71619032207035,5.53326086986429,998.5,5.64495597802211,615.2,382.8,5.7845147518821,5.55234926876071,998.0,5.69548707104139,610.6,387.7,5.70897607407996,5.49324287130684,998.3,5.62524503644853,609.4,388.9,5.69555618554896,5.5322292172256,998.3,5.63236966360957,607.8,390.6,5.65490167962483,5.4694774269797,998.4,5.58222293605739,605.9,392.0,5.7152270276625,5.49077718032071,997.9,5.62812679665392,606.7,391.3,5.66291090927558,5.51979715106116,998.0,5.60679482112448,611.9,386.7,5.70815882881882,5.51117848705912,998.6,5.63198489070233,612.0,386.4,5.66792671389082,5.54773292611281,998.4,5.6215975068984
641.7,356.6,5.80951567002248,5.47263532478799,998.3,5.68927523159769,644.0,353.8,5.79572963240476,5.48091091723325,997.8,5.68457454358876,641.2,357.3,5.87734724343092,5.54517369182435,998.5,5.75873839771636,649.0,349.3,5.87897291298191,5.56826488221184,998.3,5.77070081510587,639.1,358.9,5.79396856028846,5.51713849257166,998.0,5.694764662784,640.2,358.1,5.80674112156004,5.54878460386818,998.3,5.71480174363142,639.3,359.0,5.81004166488294,5.45715677567655,998.3,5.68293974794264,637.9,360.6,5.83458147296763,5.48054043557404,998.5,5.7082345872927,639.2,358.7,5.78587888516677,5.53411612747784,997.9,5.69534384765822,643.9,353.8,5.8342656863481,5.47502160598803,997.7,5.70663659808045,644.7,353.8,5.76761469870497,5.56526294824295,998.5,5.69586918250926
671.0,327.2,5.92992678058577,5.48005866060033,998.2,5.78223218575387,674.5,324.0,5.9570832706342,5.49431048779369,998.5,5.80774297955099,669.2,329.1,6.01518013738201,5.53433168509144,998.3,5.85686845371048,678.6,319.9,5.97881151517984,5.56692339034668,998.5,5.8471693867402,668.8,330.0,5.86144460954988,5.51258445842108,998.8,5.74690000621864,669.8,328.6,5.91130978791352,5.54586745767853,998.4,5.79149335430512,669.2,329.0,5.92653401234844,5.45018286707304,998.2,5.77018174589727,663.7,334.8,5.94572536859048,5.44091714593178,998.5,5.7772637054958,667.2,331.0,5.89765958691394,5.5029148043645,998.2,5.76569791762586,673.2,325.3,5.92981701050697,5.45076097259892,998.5,5.7734501544155,673.2,325.2,5.91446750272164,5.56312649620757,998.4,5.7994925630571
689.3,309.2,6.01318155912243,5.36601527233014,998.5,5.81210208204196,693.5,304.5,6.06410439478265,5.39423214074446,998.0,5.85975904196086,686.9,311.7,6.09483643128564,5.46534150331536,998.6,5.89785863927779,702.4,295.4,6.08083783263088,5.51518297803778,997.8,5.91340246967128,694.9,303.4,6.02578209075353,5.4856013382335,998.3,5.8617615267543,696.3,302.2,6.0432695403805,5.51486261771638,998.5,5.88289699389381,690.0,308.5,6.0154409546505,5.42081138838913,998.5,5.83164904773679,687.4,310.9,6.04057341473542,5.36362413118133,998.3,5.82991664854608,688.1,309.9,6.00550432500735,5.43309342888941,998.0,5.82655933582159,695.1,303.5,6.03512710819484,5.39589583148226,998.6,5.84037149241027,698.5,299.7,6.02070593048929,5.52149600016031,998.2,5.86964501813146
698.1,300.4,6.09350857788652,5.20528284541876,998.5,5.82431423745739,713.3,285.1,6.12271659183797,5.30080536011583,998.4,5.88760720668649,704.7,293.2,6.20507351093505,5.36928825502809,997.9,5.95920426775638,711.3,287.0,6.16360955247727,5.32381893712241,998.3,5.92169232256021,701.3,297.0,6.09187361752983,5.22985901081402,998.3,5.83480054537021,708.7,290.1,6.13714883236872,5.37687942978099,998.8,5.91509104294675,703.2,295.3,6.10191028446687,5.29672724158255,998.5,5.86196828090616,698.0,300.1,6.09511164252905,5.25206842088189,998.1,5.84055482371751,704.9,293.4,6.09701932175406,5.29567611719515,998.3,5.85965351576383,709.9,288.2,6.12618956158331,5.26169591035898,998.1,5.87542838230407,715.1,283.0,6.09469519280931,5.39525355942758,998.1,5.89634064029082
712.1,285.7,6.17564467422734,5.07763620428908,997.8,5.85948778202407,722.6,276.0,6.23671413929308,5.17406939420332,998.6,5.94247564197464,709.3,289.4,6.24970539656685,5.20583370728765,998.7,5.94645747952361,720.5,277.7,6.2377023230326,5.16067580615934,998.2,5.93771095101188,712.8,285.3,6.17601106230626,5.13223807710552,998.1,5.87706929396396,717.5,281.3,6.2062601968845,5.21198473928057,998.8,5.92618821226036,708.0,290.8,6.20163009267336,5.09979123124316,998.8,5.87913474596841,700.4,298.2,6.17956345856763,5.0581153323616,998.6,5.84491240763907,705.9,291.9,6.17405910861381,5.10714051114298,997.8,5.86030129401164,718.3,280.3,6.17940216321047,5.10814967460134,998.6,5.87871586428349,721.8,276.5,6.15251695830521,5.22305909038699,998.3,5.89329997722339
707.8,290.8,6.21488999255471,4.92524735286145,998.6,5.83692765434343,723.2,275.3,6.29324783943184,4.97330292943338,998.5,5.92898185869671,714.2,283.3,6.32257440581555,5.08426622355323,997.5,5.97162592848533,722.4,276.0,6.29328855609832,4.9352576885007,998.4,5.91857808667255,714.7,283.8,6.2697490946377,4.98638654277042,998.5,5.90495014052128,719.5,279.3,6.28587651000027,5.03737750550901,998.8,5.93695519166461,710.6,287.5,6.27171358405938,4.91867000408352,998.1,5.88045171460146,702.1,296.2,6.23498493622158,4.99197292091411,998.3,5.86685698422666,709.8,288.6,6.26523051140404,4.97977718659126,998.4,5.89182198230294,719.7,278.6,6.25781889692018,4.95292835627353,998.3,5.89218638430874,727.6,270.5,6.24343918058929,5.07540008222534,998.1,5.92273803029989
