forward_num_0.15,reverse_num_0.15,forward_rate_0.15,reverse_rate_0.15,organism_num_0.15,organism_rate_0.15,forward_num_0.30,reverse_num_0.30,forward_rate_0.30,reverse_rate_0.30,organism_num_0.30,organism_rate_0.30,forward_num_0.40,reverse_num_0.40,forward_rate_0.40,reverse_rate_0.40,organism_num_0.40,organism_rate_0.40,forward_num_0.20,reverse_num_0.20,forward_rate_0.20,reverse_rate_0.20,organism_num_0.20,organism_rate_0.20,forward_num_0.10,reverse_num_0.10,forward_rate_0.10,reverse_rate_0.10,organism_num_0.10,organism_rate_0.10,forward_num_0.25,reverse_num_0.25,forward_rate_0.25,reverse_rate_0.25,organism_num_0.25,organism_rate_0.25,forward_num_0.35,reverse_num_0.35,forward_rate_0.35,reverse_rate_0.35,organism_num_0.35,organism_rate_0.35,forward_num_0.55,reverse_num_0.55,forward_rate_0.55,reverse_rate_0.55,organism_num_0.55,organism_rate_0.55,forward_num_0.60,reverse_num_0.60,forward_rate_0.60,reverse_rate_0.60,organism_num_0.60,organism_rate_0.60,forward_num_0.45,reverse_num_0.45,forward_rate_0.45,reverse_rate_0.45,organism_num_0.45,organism_rate_0.45,forward_num_0.50,reverse_num_0.50,forward_rate_0.50,reverse_rate_0.50,organism_num_0.50,organism_rate_0.50
500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5
536.5,462.0,5.49826604076917,5.48200618644015,998.5,5.49083702941418,540.4,457.8,5.57834379848805,5.50149461086985,998.2,5.54286190058035,536.7,461.6,5.50417782201135,5.49268822405956,998.3,5.49875869380978,537.6,461.2,5.5171257348251,5.50651580741715,998.8,5.51241421782504,537.6,460.3,5.52894349664996,5.49130720951904,997.9,5.51166216156462,537.6,460.5,5.55586064578202,5.50838381822975,998.1,5.53401932144313,535.9,462.8,5.54206913134957,5.4850890768484,998.7,5.51586887488691,536.0,462.7,5.54020430931677,5.49601801221791,998.7,5.51977518600765,538.3,459.6,5.5239620648973,5.49750030670956,997.9,5.51168555606539,541.5,457.0,5.53802361230721,5.49952901527651,998.5,5.52067357144342,539.8,458.7,5.55547484120989,5.49318287185929,998.5,5.52699643531307
575.2,422.7,5.5564965771069,5.47226814258661,997.9,5.52118903948461,577.4,421.1,5.62593935254808,5.50456754425814,998.5,5.57446645041835,575.8,422.5,5.52064199257858,5.46192588131076,998.3,5.49584865617694,574.0,424.4,5.54338204635946,5.50940919085414,998.4,5.52874717932949,575.6,422.8,5.59678931170031,5.48811909414976,998.4,5.55148675729838,575.0,423.0,5.58178701419988,5.51718035262521,998.0,5.55481369607698,575.4,423.2,5.60510471527621,5.49432637332211,998.6,5.55829489105228,575.0,423.2,5.49484239689186,5.49578482537551,998.2,5.49529351043891,577.5,420.9,5.39670736504213,5.50682509251584,998.4,5.44327110931585,576.7,421.7,5.56802661140513,5.50703878084803,998.4,5.54255278639303,577.5,421.0,5.54512969437484,5.50847403837934,998.5,5.52959121053746
610.3,388.0,5.62595523379478,5.49190147006193,998.3,5.57398117296286,608.5,389.8,5.67191328390563,5.49784996051813,998.3,5.60389832187309,608.8,389.7,5.57322061142514,5.47365930599933,998.5,5.5341986274852,608.6,389.8,5.6409466974457,5.51594554833061,998.4,5.59183694491411,609.2,388.8,5.69124345764737,5.49476076550125,998.0,5.61523402928879,610.3,388.1,5.67891116537742,5.5140934323355,998.4,5.61518303901174,613.3,384.9,5.65751487081356,5.48872729603564,998.2,5.59215148228028,606.6,392.0,5.32944674856503,5.50912209561779,998.6,5.40017601193655,613.7,384.5,5.15744434893854,5.52117658847171,998.2,5.29764095498998,610.9,387.0,5.50964123407132,5.52187862313808,997.9,5.51458241396948,610.6,387.7,5.37978402601303,5.51762152919773,998.3,5.43342098939253
643.2,355.0,5.74240497426734,5.51376048107068,998.2,5.66165757488594,640.8,356.9,5.77934406464985,5.52547881619262,997.7,5.68843337763743,641.5,356.6,5.62643840896053,5.46702169602521,998.1,5.56939985482284,643.1,355.2,5.75901760958157,5.50742788486093,998.3,5.66954995600381,640.8,357.6,5.82059196358432,5.50117290172819,998.4,5.70684165370509,644.9,353.2,5.77119939534414,5.49200500270164,998.1,5.67228775973824,643.1,354.9,5.72974467121464,5.49288916188265,998.0,5.64568032172087,640.2,358.3,5.13224516543634,5.51998803910512,998.5,5.27160878313183,643.4,355.2,5.02176480309563,5.51724521278352,998.6,5.19825268964782,644.7,353.9,5.41866432850194,5.53133158617163,998.6,5.45873258027567,641.2,356.4,5.25878717514709,5.52622702934808,997.6,5.35417728369034
670.8,327.7,5.85687946904273,5.49952128480292,998.5,5.74048487365121,671.0,327.2,5.91754059362403,5.5497645221429,998.2,5.79735772751423,669.5,328.9,5.64263804001448,5.44885960366447,998.4,5.57772524827829,672.0,326.1,5.89773530526481,5.4861145946893,998.1,5.76263735411249,669.8,328.4,5.93204062975305,5.48051010731123,998.2,5.78472857554005,673.7,324.5,5.87569233228158,5.47538345197218,998.2,5.74486172846093,672.7,325.5,5.79908497854771,5.49179107105185,998.2,5.69895024420625,668.7,329.7,4.99484542195646,5.5140975834574,998.4,5.16654221663468,669.0,329.4,4.98161825307612,5.47337090932101,998.4,5.14354521877652,671.6,326.8,5.3535833883645,5.5176160974782,998.4,5.40715683885082,670.9,327.1,5.11945614555303,5.50168297471557,998.0,5.24487243083461
696.6,302.0,5.9483377615198,5.49559520997973,998.6,5.81213036683979,692.6,304.9,5.98729039683563,5.45719957635123,997.5,5.82473068044589,695.0,302.7,5.62549233429351,5.43332861622716,997.7,5.56600873938139,695.5,303.1,6.03846642402413,5.39278638337625,998.6,5.84168898357275,697.0,301.1,6.03679407143669,5.45762683980835,998.1,5.8628241635927,697.0,300.9,5.96897516324785,5.44306375796372,997.9,5.80964864811143,696.7,301.6,5.88101837676522,5.46445266337016,998.3,5.75489116616689,695.5,302.9,4.94489361594895,5.50518991881732,998.4,5.1143624852101,690.6,307.3,4.918320427855,5.3914010828652,997.9,5.0635276026937,697.4,300.4,5.25071842718778,5.4949105789188,997.8,5.32380467587617,689.4,309.1,5.00561046648238,5.40150496688073,998.5,5.12798451543082
712.1,286.0,6.04969838081773,5.32901972414499,998.1,5.84329732151836,711.0,287.3,6.07151086284026,5.36165998268223,998.3,5.86668541769015,710.6,287.5,5.61805213429956,5.32326037576178,998.1,5.531613258193,702.6,295.2,6.10244089835127,5.17469571184454,997.8,5.82731442782514,715.0,283.7,6.14544338256062,5.30982135885176,998.7,5.90708604395979,712.0,286.0,6.07639925183313,5.34563768431145,998.0,5.86665871924057,708.9,289.5,5.93212937848643,5.31139001396482,998.4,5.75069814107106,715.2,283.2,4.87961819456406,5.41266655922501,998.4,5.02942902561096,704.9,293.1,4.90164762448021,5.25723009265357,998.0,5.00586596647104,712.4,286.0,5.18229824236632,5.34847778732107,998.4,5.22939878751482,701.2,296.8,4.93777331607319,5.2279995676464,998.0,5.02334348333646
718.2,280.5,6.12660278485768,5.11455538285138,998.7,5.84227734748777,710.5,287.1,6.11536239865481,5.09840979546783,997.6,5.82217930232955,717.0,281.3,5.58612577719611,5.11767936816126,998.3,5.45197410210938,716.0,282.6,6.17113866848471,5.0449249384692,998.6,5.85031293637784,721.6,276.2,6.19518629027835,5.15339330747055,997.8,5.90654623992222,718.3,279.6,6.10200539095758,5.15098122884753,997.9,5.83446464323482,718.4,279.5,5.95084949797332,5.12522855618581,997.9,5.71768884453764,727.4,271.0,4.83516957697132,5.3092574725561,998.4,4.96195013995992,705.6,292.8,4.85814068630252,5.11376621030313,998.4,4.93360645133871,719.2,279.5,5.1350774235965,5.17747005609417,998.7,5.14607703896281,703.5,295.1,4.8612509814293,5.08800099859311,998.6,4.9273120816207
720.1,278.4,6.20515852485124,4.96866138096995,998.5,5.86086905614245,714.8,284.0,6.16445463133406,4.89768486181774,998.8,5.80546668913402,725.0,273.2,5.57795086275937,4.97456777281156,998.2,5.4126384621255,724.0,274.4,6.25007042236292,4.88533853073594,998.4,5.87391254764918,724.4,273.9,6.29044815195778,4.9749100500808,998.3,5.9286905119482,726.2,272.3,6.16615328348529,4.98309310081148,998.5,5.84376368004236,720.9,277.5,6.00016943948674,4.96870947511877,998.4,5.71094893282438,725.8,272.2,4.80114630632407,5.16510965277175,998.0,4.89881138562868,712.1,286.0,4.85579962876435,5.09506325754365,998.1,4.92474398593774,719.7,278.1,5.08966729909553,5.01210864143811,997.8,5.06870192418131,699.7,298.8,4.81655839942491,5.01211276697675,998.5,4.87500674232985
